team_abbreviation,game_date,wl,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,over_100
PHI,2024-04-14,W,240,107,41,96,0.427,14,44,0.318,11,15,0.733,S
SAS,2024-04-14,W,241,123,49,91,0.538,15,34,0.441,10,14,0.714,S
NYK,2024-04-14,W,265,120,46,91,0.505,12,32,0.375,16,21,0.762,S
PHX,2024-04-14,W,244,125,47,86,0.547,16,29,0.552,15,18,0.833,S
LAC,2024-04-14,L,240,105,41,104,0.394,8,37,0.216,15,17,0.882,S
WAS,2024-04-14,L,240,122,49,103,0.476,14,38,0.368,10,10,1.0,S
OKC,2024-04-14,W,241,135,54,97,0.557,14,34,0.412,13,16,0.813,S
DEN,2024-04-14,W,239,126,46,89,0.517,12,36,0.333,22,26,0.846,S
MIN,2024-04-14,L,241,106,36,70,0.514,9,26,0.346,25,31,0.806,S
CHI,2024-04-14,L,265,119,49,101,0.485,8,31,0.258,13,16,0.813,S
SAC,2024-04-14,W,241,121,43,87,0.494,13,34,0.382,22,27,0.815,S
BOS,2024-04-14,W,240,132,51,89,0.573,16,32,0.5,14,21,0.667,S
NOP,2024-04-14,L,240,108,41,86,0.477,15,37,0.405,11,14,0.786,S
ATL,2024-04-14,L,241,115,39,89,0.438,12,36,0.333,25,27,0.926,S
POR,2024-04-14,L,240,82,31,98,0.316,7,45,0.156,13,17,0.765,N
UTA,2024-04-14,L,240,116,46,89,0.517,14,34,0.412,10,16,0.625,S
MIA,2024-04-14,W,238,118,46,87,0.529,9,36,0.25,17,19,0.895,S
HOU,2024-04-14,W,240,116,50,103,0.485,11,38,0.289,5,14,0.357,S
ORL,2024-04-14,W,240,113,42,85,0.494,11,35,0.314,18,19,0.947,S
CHA,2024-04-14,W,241,120,46,91,0.505,19,40,0.475,9,11,0.818,S
TOR,2024-04-14,L,240,103,38,90,0.422,9,34,0.265,18,21,0.857,S
MEM,2024-04-14,L,240,111,45,100,0.45,8,33,0.242,13,18,0.722,S
DAL,2024-04-14,L,241,86,32,97,0.33,8,39,0.205,14,17,0.824,N
LAL,2024-04-14,W,241,124,48,87,0.552,11,29,0.379,17,18,0.944,S
MIL,2024-04-14,L,238,88,30,75,0.4,7,27,0.259,21,23,0.913,N
GSW,2024-04-14,W,239,123,45,94,0.479,14,43,0.326,19,23,0.826,S
CLE,2024-04-14,L,241,110,44,93,0.473,16,33,0.485,6,9,0.667,S
DET,2024-04-14,L,239,95,36,92,0.391,8,33,0.242,15,20,0.75,N
IND,2024-04-14,W,239,157,65,100,0.65,19,36,0.528,8,10,0.8,S
BKN,2024-04-14,L,240,86,32,83,0.386,9,34,0.265,13,17,0.765,N
WAS,2024-04-12,L,241,127,45,86,0.523,18,43,0.419,19,29,0.655,S
NOP,2024-04-12,W,239,114,42,90,0.467,20,38,0.526,10,16,0.625,S
GSW,2024-04-12,L,240,109,40,86,0.465,13,34,0.382,16,21,0.762,S
MIA,2024-04-12,W,239,125,45,86,0.523,17,41,0.415,18,23,0.783,S
DAL,2024-04-12,L,242,89,36,83,0.434,8,29,0.276,9,12,0.75,N
CLE,2024-04-12,W,241,129,50,95,0.526,13,32,0.406,16,23,0.696,S
MEM,2024-04-12,L,239,120,43,95,0.453,17,39,0.436,17,21,0.81,S
DEN,2024-04-12,L,240,120,49,97,0.505,13,36,0.361,9,10,0.9,S
SAC,2024-04-12,L,240,107,40,91,0.44,14,38,0.368,13,14,0.929,S
POR,2024-04-12,L,240,107,37,95,0.389,12,35,0.343,21,29,0.724,S
MIL,2024-04-12,L,240,107,42,85,0.494,11,30,0.367,12,13,0.923,S
CHI,2024-04-12,W,241,129,48,98,0.49,14,35,0.4,19,28,0.679,S
OKC,2024-04-12,W,240,125,47,89,0.528,13,38,0.342,18,20,0.9,S
DET,2024-04-12,W,242,107,46,95,0.484,8,31,0.258,7,9,0.778,S
IND,2024-04-12,L,239,120,46,89,0.517,9,32,0.281,19,22,0.864,S
BKN,2024-04-12,L,241,107,41,82,0.5,11,32,0.344,14,19,0.737,S
TOR,2024-04-12,L,241,103,37,77,0.481,10,31,0.323,19,22,0.864,S
MIN,2024-04-12,W,242,109,38,79,0.481,10,37,0.27,23,29,0.793,S
PHI,2024-04-12,W,239,125,42,88,0.477,18,37,0.486,23,28,0.821,S
HOU,2024-04-12,W,240,116,44,92,0.478,11,39,0.282,17,20,0.85,S
PHX,2024-04-12,W,240,108,40,76,0.526,12,32,0.375,16,17,0.941,S
UTA,2024-04-12,W,241,110,41,88,0.466,6,35,0.171,22,25,0.88,S
BOS,2024-04-12,W,240,131,54,104,0.519,14,41,0.341,9,13,0.692,S
LAL,2024-04-12,W,241,123,42,81,0.519,13,37,0.351,26,34,0.765,S
ATL,2024-04-12,L,240,106,40,90,0.444,9,30,0.3,17,25,0.68,S
SAS,2024-04-12,W,240,121,45,85,0.529,15,33,0.455,16,23,0.696,S
ORL,2024-04-12,L,239,113,43,95,0.453,8,27,0.296,19,25,0.76,S
CHA,2024-04-12,L,240,98,32,76,0.421,15,35,0.429,19,22,0.864,N
LAC,2024-04-12,L,241,109,43,96,0.448,10,39,0.256,13,19,0.684,S
NYK,2024-04-12,W,241,111,38,83,0.458,14,30,0.467,21,25,0.84,S
NYK,2024-04-11,W,240,118,49,99,0.495,14,36,0.389,6,10,0.6,S
DET,2024-04-11,L,241,105,38,77,0.494,14,35,0.4,15,23,0.652,S
UTA,2024-04-11,W,240,124,44,87,0.506,14,39,0.359,22,27,0.815,S
CHI,2024-04-11,W,239,127,51,96,0.531,14,36,0.389,11,15,0.733,S
SAC,2024-04-11,L,240,123,46,84,0.548,16,38,0.421,15,20,0.75,S
POR,2024-04-11,L,241,92,35,97,0.361,8,34,0.235,14,17,0.824,N
GSW,2024-04-11,W,240,100,36,77,0.468,12,35,0.343,16,20,0.8,N
BOS,2024-04-11,L,242,109,40,86,0.465,16,42,0.381,13,16,0.813,S
NOP,2024-04-11,W,240,135,49,86,0.57,22,40,0.55,15,18,0.833,S
HOU,2024-04-11,L,239,121,40,95,0.421,21,47,0.447,20,22,0.909,S
DEN,2024-04-10,W,239,116,46,83,0.554,11,25,0.44,13,23,0.565,S
SAS,2024-04-10,L,241,89,32,96,0.333,9,40,0.225,16,20,0.8,N
OKC,2024-04-10,W,241,127,47,101,0.465,16,38,0.421,17,21,0.81,S
PHX,2024-04-10,W,238,124,46,95,0.484,18,50,0.36,14,15,0.933,S
BKN,2024-04-10,W,242,106,38,86,0.442,11,36,0.306,19,24,0.792,S
MEM,2024-04-10,L,240,98,33,84,0.393,14,32,0.438,18,19,0.947,N
MIA,2024-04-10,L,239,92,33,81,0.407,13,30,0.433,13,13,1.0,N
CLE,2024-04-10,W,243,110,37,82,0.451,15,37,0.405,21,29,0.724,S
LAC,2024-04-10,L,240,108,44,95,0.463,12,36,0.333,8,10,0.8,S
DAL,2024-04-10,W,241,111,43,87,0.494,15,44,0.341,10,13,0.769,S
