game_date,home_team,visitor_team,home_pts,visitor_pts
2023-11-03,CLE,IND,116.0,121.0
2023-11-03,NYK,MIL,105.0,110.0
2023-11-03,WAS,MIA,114.0,121.0
2023-11-03,BKN,CHI,109.0,107.0
2023-11-03,GSW,OKC,141.0,139.0
2023-11-03,DAL,DEN,114.0,125.0
2023-11-03,MEM,POR,113.0,115.0
2023-11-10,PHI,DET,114.0,106.0
2023-11-10,CHA,WAS,124.0,117.0
2023-11-10,BKN,BOS,107.0,121.0
2023-11-10,NOP,HOU,101.0,104.0
2023-11-10,UTA,MEM,127.0,121.0
2023-11-10,MIN,SAS,117.0,110.0
2023-11-10,LAC,DAL,126.0,144.0
2023-11-10,LAL,PHX,122.0,119.0
2023-11-10,OKC,SAC,98.0,105.0
2023-11-14,MIA,CHA,111.0,105.0
2023-11-14,ATL,DET,126.0,120.0
2023-11-14,IND,PHI,132.0,126.0
2023-11-14,ORL,BKN,104.0,124.0
2023-11-14,SAS,OKC,87.0,123.0
2023-11-14,DAL,NOP,110.0,131.0
2023-11-14,POR,UTA,99.0,115.0
2023-11-14,LAC,DEN,108.0,111.0
2023-11-14,MIN,GSW,104.0,101.0
2023-11-14,MEM,LAL,107.0,134.0
2023-11-17,MIL,CHA,130.0,99.0
2023-11-17,NYK,WAS,120.0,99.0
2023-11-17,PHI,ATL,126.0,116.0
2023-11-17,DET,CLE,100.0,108.0
2023-11-17,BOS,TOR,108.0,105.0
2023-11-17,SAC,SAS,129.0,120.0
2023-11-17,ORL,CHI,103.0,97.0
2023-11-17,DEN,NOP,110.0,115.0
2023-11-17,PHX,UTA,131.0,128.0
2023-11-17,LAL,POR,107.0,95.0
2023-11-17,HOU,LAC,100.0,106.0
2023-11-21,TOR,ORL,107.0,126.0
2023-11-21,IND,ATL,157.0,152.0
2023-11-21,CLE,PHI,122.0,119.0
2023-11-21,POR,PHX,107.0,120.0
2023-11-21,UTA,LAL,99.0,131.0
2023-11-24,BOS,ORL,96.0,113.0
2023-11-24,PHX,MEM,110.0,89.0
2023-11-24,MIA,NYK,98.0,100.0
2023-11-24,CHI,TOR,108.0,121.0
2023-11-24,DET,IND,113.0,136.0
2023-11-24,DEN,HOU,86.0,105.0
2023-11-24,WAS,MIL,128.0,131.0
2023-11-24,SAC,MIN,124.0,111.0
2023-11-24,SAS,GSW,112.0,118.0
2023-11-24,NOP,LAC,116.0,106.0
2023-11-28,CHI,BOS,97.0,124.0
2023-11-28,TOR,BKN,103.0,115.0
2023-11-28,ATL,CLE,105.0,128.0
2023-11-28,MIL,MIA,131.0,124.0
2023-11-28,CHA,NYK,91.0,115.0
2023-11-28,OKC,MIN,103.0,106.0
2023-11-28,HOU,DAL,115.0,121.0
2023-11-28,GSW,SAC,123.0,124.0
2023-10-24,LAL,DEN,107.0,119.0
2023-10-24,PHX,GSW,108.0,104.0
2023-10-25,ATL,CHA,110.0,116.0
2023-10-25,WAS,IND,120.0,143.0
2023-10-25,BOS,NYK,108.0,104.0
2023-10-25,HOU,ORL,86.0,116.0
2023-10-25,CLE,BKN,114.0,113.0
2023-10-25,DET,MIA,102.0,103.0
2023-10-25,MIN,TOR,94.0,97.0
2023-10-25,OKC,CHI,124.0,104.0
2023-10-25,NOP,MEM,111.0,104.0
2023-10-25,SAC,UTA,130.0,114.0
2023-10-25,DAL,SAS,126.0,119.0
2023-10-25,POR,LAC,111.0,123.0
2023-10-26,PHI,MIL,117.0,118.0
2023-10-26,PHX,LAL,95.0,100.0
2023-10-27,DET,CHA,111.0,99.0
2023-10-27,DEN,MEM,108.0,104.0
2023-10-27,NYK,ATL,126.0,120.0
2023-10-27,MIA,BOS,111.0,119.0
2023-10-27,OKC,CLE,108.0,105.0
2023-10-27,TOR,CHI,103.0,104.0
2023-10-27,HOU,SAS,122.0,126.0
2023-10-27,BKN,DAL,120.0,125.0
2023-10-27,LAC,UTA,118.0,120.0
2023-10-27,ORL,POR,102.0,97.0
2023-10-27,GSW,SAC,122.0,114.0
2023-10-28,CHI,DET,102.0,118.0
2023-10-28,MEM,WAS,106.0,113.0
2023-10-28,NYK,NOP,87.0,96.0
2023-10-28,IND,CLE,125.0,113.0
2023-10-28,PHI,TOR,114.0,107.0
2023-10-28,MIA,MIN,90.0,106.0
2023-10-28,UTA,PHX,104.0,126.0
2023-10-29,DEN,OKC,128.0,95.0
2023-10-29,GSW,HOU,106.0,95.0
2023-10-29,ATL,MIL,127.0,110.0
2023-10-29,POR,PHI,98.0,126.0
2023-10-29,SAS,LAC,83.0,123.0
2023-10-29,LAL,SAC,127.0,132.0
2023-10-30,BKN,CHA,133.0,121.0
2023-10-30,CHI,IND,112.0,105.0
2023-10-30,BOS,WAS,126.0,107.0
2023-10-30,MIN,ATL,113.0,127.0
2023-10-30,POR,TOR,99.0,91.0
2023-10-30,DAL,MEM,125.0,110.0
2023-10-30,MIA,MIL,114.0,122.0
2023-10-30,GSW,NOP,130.0,102.0
2023-10-30,DET,OKC,112.0,124.0
2023-10-30,UTA,DEN,102.0,110.0
2023-10-30,ORL,LAL,103.0,106.0
2023-10-31,NYK,CLE,109.0,91.0
2023-10-31,SAS,PHX,115.0,114.0
2023-10-31,ORL,LAC,102.0,118.0
2023-11-01,POR,DET,110.0,101.0
2023-11-01,MIL,TOR,111.0,130.0
2023-11-01,WAS,ATL,121.0,130.0
2023-11-01,IND,BOS,104.0,155.0
2023-11-01,BKN,MIA,109.0,105.0
2023-11-01,CLE,NYK,95.0,89.0
